kata,frekuensi
dari,222314
telah,197977
kepada,184177
kami,179186
berkata,145020
dan,137394
menceritakan,136499
yang,116200
rasulullah,67595
ia,67413
saw,64942
beliau,61525
aku,60240
dia,50665
tidak,49183
di,46599
mereka,45115
maka,43734
bersabda,43715
dengan,40689
itu,38797
lalu,37836
allah,37767
nabi,31740
kemudian,30187
bahwa,27754
orang,26295
kepadaku,25009
akan,24969
ini,24960
mengabarkan,24916
kalian,24867
adalah,24853
saya,24255
untuk,24108
seorang,23144
abu,22829
dalam,22440
solat,22135
pada,22082
bin,21280
ada,21079
mendengar,17650
hadits,16592
kamu,16163
menjawab,16132
al,15176
jika,14877
wahai,14627
sesungguhnya,14401
wa,14196
pernah,13799
hari,13741
bertanya,13427
atau,13263
orangorang,13074
ketika,13047
hingga,12915
pun,12119
dua,12078
apa,11277
ke,11255
tersebut,10977
kepadanya,10956
kerana,10481
engkau,10286
seperti,9822
datang,9541
satu,9437
ibnu,9270
apakah,9078
lakilaki,9040
melihat,8801
Abu Hurairah,8793
kecuali,8479
lebih,8451
juga,8430
shallallahualaihiwasallam,8377
bercerita,8182
bersama,8061
alaihi,8056
keduanya,8004
atas,7846
setelah,7805
para,7701
wanita,7568
hal,7551
ya,7487
sedang,7464
umar,7254
lain,7134
oleh,6991
salam,6753
antara,6724
mengatakan,6686
barangsiapa,6539
lagi,6507
saat,6481
seseorang,6419
Syu'bah,6388
kali,6339
suatu,6291
wasallam,6218
tiga,6186
yaitu,6181
tentang,6158
namun,6049
abdullah,6034
kedua,5849
sampai,5743
sesuatu,5736
salah,5682
Sufyan,5682
apabila,5652
melakukan,5591
shallallahualaihi,5587
anak,5574
sungguh,5441
bagi,5335
air,5262
berada,5253
baik,5190
malam,5093
shallallahu,5055
tempat,5021
kaum,4781
menyebutkan,4777
janganlah,4767
masuk,4726
kembali,4629
menjadi,4615
membaca,4614
muhammad,4602
isa,4601
sallam,4589
demi,4533
berdiri,4478
keluar,4459
manusia,4411
siapa,4401
rakaat,4337
memberi,4299
sedangkan,4281
Aisyah,4240
menemui,4158
setiap,4133
aisyah,4046
sehingga,4032
ayat,4030
kepadamu,4004
serta,3960
duduk,3951
surga,3943
budak,3928
waktu,3925
paling,3898
Ibnu Abbas,3854
hanya,3836
agar,3831
sebagaimana,3801
masih,3762
sahabat,3743
tangannya,3713
sebagai,3707
hasan,3683
jalur,3663
unta,3650
malik,3642
radliallahu,3569
harta,3565
bahwasanya,3562
dapat,3554
Ibnu Umar,3528
sebelum,3487
neraka,3455
mendapatkan,3447
puluh,3445
saja,3406
meminta,3406
sebagian,3352
melarang,3351
pergi,3337
makan,3257
memiliki,3256
bapaknya,3204
tetapi,3138
kita,3137
kurma,3136
bakar,3132
mendatangi,3108
Az Zuhri,3104
ayahnya,3083
mengucapkan,3079
selain,3071
Qatadah,3055
Nafi',3047
keadaan,3038
sementara,3037
masjid,3014
hendaklah,3005
tangan,3001
Waki',2970
lantas,2948
tidaklah,2932
memberikan,2927
bisa,2927
bani,2921
banyak,2865
rumah,2861
seraya,2855
diantara,2855
ali,2826
memberitakan,2800
surat,2793
membawa,2784
kiamat,2782
diriwayatkan,2774
bulan,2770
maha,2745
tahu,2742
bagaimana,2739
mengetahui,2726
belum,2715
abbas,2698
bila,2678
pula,2665
Al A'masy,2646
madinah,2630
Ibnu Syihab,2621
berpuasa,2608
benar,2597
boleh,2594
sama,2580
empat,2561
bagian,2561
mengambil,2553
jangan,2481
azza,2479
shahih,2478
Anas,2466
beberapa,2461
Malik,2433
Anas bin Malik,2428
terhadap,2423
anas,2419
anhu,2419
memerintahkan,2418
sebuah,2416
kebaikan,2393
darinya,2392
Bapaknya,2382
demikian,2375
dunia,2371
baginya,2366
selama,2362
katakan,2351
sujud,2346
sudah,2343
jalan,2330
Muhammad bin Ja'far,2326
mengenai,2324
perang,2323
haji,2322
meninggal,2301
tahun,2299
ingin,2278
Yahya,2272
Ma'mar,2254
terdapat,2222
melaksanakan,2213
pertama,2210
kambing,2210
diri,2204
anda,2201
niscaya,2178
diberi,2169
bumi,2160
musa,2158
tatkala,2117
semua,2110
matahari,2108
makanan,2105
beriman,2104
penduduk,2093
bukan,2087
nama,2074
quran,2060
bapakku,2040
secara,2023
berwudhu,2012
hurairah,2007
muslim,1994
terjadi,1980
islam,1975
padanya,1972
berjalan,1971
lainnya,1969
tujuh,1968
langit,1943
lima,1934
segala,1932
masa,1928
haiwan,1927
tanah,1911
Abdullah,1901
mempunyai,1898
kain,1894
besar,1888
termasuk,1884
minum,1882
meninggalkan,1868
ummu,1847
Ibnu Juraij,1844
abdurrahman,1839
mati,1823
hendak,1823
turun,1823
mengangkat,1816
sangat,1812
Yahya bin Sa'id,1803
tidur,1800
makkah,1799
malaikat,1797
berbuat,1787
padahal,1784
selesai,1781
membunuh,1778
anshar,1776
puasa,1766
ayahku,1762
pahala,1760
said,1755
dikatakan,1751
daripada,1746
sambil,1745
Yunus,1743
barang,1738
tanpa,1733
Abu Ishaq,1733
Jabir,1733
kau,1730
dengannya,1729
perempuan,1725
mengerjakan,1719
hamba,1705
lelaki,1696
'Affan,1696
sisi,1688
dirinya,1687
Hisyam,1681
tuhan,1680
dahulu,1661
dalamnya,1657
riwayat,1628
mandi,1627
berdoa,1625
pohon,1594
Abu Salamah,1573
berfirman,1569
qs,1568
sendiri,1567
harus,1564
membuat,1563
Hammad,1558
wajalla,1556
ternyata,1542
Ayahnya,1538
kepalanya,1535
tetap,1532
disebutkan,1521
semoga,1521
taala,1518
Qutaibah,1514
melainkan,1512
semuanya,1505
berhak,1501
Ayyub,1496
seekor,1495
yahudi,1492
mau,1490
yakni,1489
kafir,1488
sakit,1485
sebanyak,1485
perkara,1484
menuju,1483
kalau,1483
lakukan,1475
sepuluh,1473
memakai,1469
shallalahu,1462
bertemu,1461
dosa,1458
utsman,1454
kecil,1449
daging,1435
sekali,1428
berdua,1415
meriwayatkan,1414
saling,1412
tibatiba,1411
selalu,1407
pasti,1404
zaid,1400
menjadikan,1395
radliyallahuanhu,1395
salamah,1393
ditanya,1391
pakaian,1390
merasa,1390
jibril,1384
ahmad,1381
'Aisyah,1380
ikut,1374
laa,1367
jabir,1367
api,1360
mata,1354
Hammad bin Salamah,1349
milik,1344
zakat,1335
gharib,1329
ibrahim,1325
melakukannya,1318
hendaknya,1318
yahya,1316
pintu,1315
seandainya,1314
melanjutkan,1313
belakang,1311
pagi,1308
ahli,1299
amru,1293
menghadap,1288
isteri,1287
Yazid,1280
bersumpah,1277
sebelumnya,1272
Ibrahim,1271
Abu Sa'id Al Khudri,1269
rasulnya,1268
tapi,1268
Jabir bin Abdullah,1267
saudara,1263
tiba,1262
rabb,1262
sufyan,1261
sedikit,1260
imam,1257
akhir,1249
itulah,1246
darah,1246
begitu,1242
hadapan,1241
kaki,1239
umrah,1232
akhirnya,1230
