kata,frekuensi
dari,225880
kepada,224192
telah,206521
kami,179401
kata,160441
cerita,146830
dan,137400
yang,116201
rasulullah,67708
ia,67413
saw,64951
beliau,61650
aku,61346
orang,56696
tidak,52995
dia,51178
di,46599
mereka,45276
sabda,44398
maka,43966
dengan,43050
itu,40136
lalu,39625
allah,37893
nabi,32208
ada,30461
kemudian,30187
bahwa,27765
dua,27391
untuk,26801
ini,25642
abar,25366
akan,25213
pada,25179
kalian,24894
adalah,24853
dalam,24601
saya,24313
abu,22845
solat,22135
bin,21282
dengar,20701
sungguh,19900
sebut,19337
jawab,17554
tanya,17340
hadits,16592
bagi,16568
kamu,16214
datang,16029
al,15176
hari,15011
jika,14885
dapat,14832
wahai,14627
wa,14196
atau,13912
pernah,13828
beri,13771
lihat,13365
ketika,13158
orangorang,13074
hingga,12916
sama,12650
pun,12119
sedang,11751
apa,11643
ke,11255
rana,10946
jadi,10878
diri,10711
lain,10627
laku,10570
engkau,10488
seperti,10428
satu,10187
antara,10103
atas,9819
aisyah,9670
lebih,9668
ibnu,9274
apakah,9078
lakilaki,9040
baik,8888
abu hurairah,8799
bapak,8789
kecuali,8567
baca,8561
masuk,8438
juga,8436
shallallahualaihiwasallam,8377
tahu,8324
abdullah,8291
makan,8117
alaihi,8056
temu,7947
hendak,7934
umar,7815
oleh,7807
tinggal,7747
tiga,7738
wanita,7717
hal,7705
para,7702
sampai,7675
belum,7630
riwayat,7555
ayah,7551
ya,7487
tangan,7474
buat,7299
jangan,7249
anak,7124
duduk,7082
milik,7064
sufyan,6944
salam,6910
bagaimana,6736
hadap,6727
saat,6718
kali,6633
barangsiapa,6539
lagi,6508
tentang,6466
syu bah,6397
suatu,6340
salah,6336
jalan,6313
keluar,6290
wasallam,6218
yaitu,6181
tempat,6141
malik,6075
namun,6049
sesuatu,6026
kembali,5979
siapa,5779
malam,5777
kaum,5773
apabila,5652
air,5649
muhammad,5648
shallallahualaihi,5587
ucap,5389
minta,5386
bunuh,5196
sahabat,5177
banyak,5074
puluh,5064
shallallahu,5055
perintah,5046
turun,5002
